,Hotel name,Hotel Description
101,Home in New Delhi,3 Bed Room in B Block GK1 - 5 mins to M Block
102,Hotel room in New Delhi,Private Room near New Delhi Station & City Centre
103,Flat in New Delhi,Nagpal Studio-2|Chattarpur Encl.
104,Flat in New Delhi,Enbliss: Ground Floor in a bungalow in South Delhi
105,Flat in Gurugram,Sector 45: Studio Apt (206)
106,Apartment in New Delhi,Bully and pams home
107,Flat in Gurugram,Sector 45: 1 BHK Apt (204)
108,Room in New Delhi,Double Bed with Breakfast in Delhi
109,Home in New Delhi,Yogoda Penthouse
110,Room in New Delhi,Room in Safe & Quiet hood w/WiFi|Bfast|near Metro
111,Flat in New Delhi,"Edith's lodging - Munirka, South Delhi"
112,Shared room in New Delhi,AmigosIndia
113,Room in Delhi,Charming B&B located in South Delhi
114,Room in New Delhi,"The Rouge Room: Bright,cosy & clean"
115,Apartment in Gurugram,"Ardee City Heart of Gurugram 
Security & Comfort"
116,Place to stay in New Delhi,Under My Roof Classic Private Room @Green Park Mkt
117,Home in New Delhi,"Isckon Temple , East of Kailash , N-Delhi"
118,Flat in New Delhi,Isolated private studio apartment with AC
119,Apartment in New Delhi,Luxury Jacuzzi Spa Tub 1BHK Suite South Delhi (11)
120,Apartment in Noida,#1PvtStudioKitchnBath_CentrNoidaDelhiNCR_Metro650m
121,Home in New Delhi ,ADB Vibes - Your home away from home
122,Apartment in New Delhi,"BrandNew,Artistic Space Minutes to IndiaGate🦮"
123,Apartment in New Delhi,Luxurious 2 bedroom apartment in south delhi
124,Room in Delhi,Goel's Nest...
125,Flat in New Delhi,Amma's Place
126,Apartment in New Delhi,"Modern 2 Bedroom Appartment, Vasant Vihar"
127,Flat in New Delhi,Premium Luxurious 2BHK w/ huge Livingroom (14)
128,Apartment in New Delhi,Living By The Greens (Ground Floor)
129,Apartment in Noida,#1PvtStudioKitchnBath_CentrNoidaDelhiNCR_Metro650m
130,Flat in New Delhi,"Wild Walk Luxury Stay, 2Bhk Private Villa W/AC+BT"
131,Room in New Delhi,Nina Kochhar's Homestay
132,Place to stay in New Delhi,Under My Roof Superio Private Room @Green Park Mkt
133,Place to stay in New Delhi,Private Ensuite South Delhi with Indian Breakfast
134,Room in New Delhi,Arty/Cosy Nook 2 mts from Metro Station
135,Flat in New Delhi,Harphool Nivas 3@ Hauz Khas Village
136,Flat in New Delhi,5Star Independent Studio in South Delhi Nblock GK1
137,Place to stay in New Delhi,Room 1:-Beautiful room With terrace access
138,Room in New Delhi,"Standard Room 3, central and safe"
139,Room in New Delhi,BnB in South Delhi - Elegant | Secure | Central
140,Farm stay in Gurugram,Delightful farmhouse with pool and tent.
141,Apartment in Delhi,Beautiful luxury Flat with Metro view Near Airport
142,Flat in New Delhi,Aircon - CP 24/7 Security - Charm - Balcony
143,Room in New Delhi,Anuraag's PurnTosh Elements
144,Apartment in Delhi,Beautiful luxury Flat with Metro view Near Airport
145,Place to stay in New Delhi,Couple-friendly + southdelhi +Moolchand metro 1
146,Flat in New Delhi,Sunshine and Rainbows
147,Room in New Delhi,"Homestay, at AirB'nB host family in Sarita Vihar."
148,Apartment in New Delhi,Vasant Kunj Studio Apartment: Near Airport
149,Flat in New Delhi,"Edith's lodging - Munirka, South Delhi"
150,Place to stay in New Delhi,Beautiful R6om with attached balcony
151,Room in New Delhi,"""Niro"" - A Serene and Spacious Private Room in GK2"
152,Room in Noida,ShortStay Standard
153,Flat in New Delhi,"2-Bedroom floor in South Delhi , GK 1 - 2nd floor"
154,Place to stay in New Delhi,~NEW~ Cozy Stay in South Delhi w/ Private Bathroom
155,Flat in New Delhi,Independent Unit - Bedroom | Living Room | Balcony
156,Room in Delhi,A home away from home.
157,Room in New Delhi,Room in Safe & Quiet hood w/WiFi|Bfast|near Metro
158,Apartment in New Delhi,Bully and pams home
159,Guest house in New Delhi,Elegant and Cozy Studio Apartment- 2
160,Room in New Delhi,Erica's Place  1 -  Large room in South Delhi
161,Flat in New Delhi,Studio located in the SAFEST part of town.
162,Boutique hotel in New Delhi,Embassy house
163,Place to stay in New Delhi,South View Apartments at Nehru Place
164,Flat in New Delhi,Couple Friendly 1BHK apartment in Jangpura Extn
165,Flat in New Delhi,Boutique Indian Apartment on First (Upper) Floor
166,Apartment in New Delhi,WOW House 2 Bedroom & Drawing-room Kitchen Balcony
167,Flat in New Delhi,D’s Bird Sanctuary - Ostrich
168,Hotel in Gurugram,Super Luxury Room with Bathtub - Premium Location
169,Flat in New Delhi,Comfy Flat near Metro & Airport.
170,Room in New Delhi,5rooms with party hall near udyog vihar & cyberhub
171,Villa in New Delhi,Green Avenue Luxury Stays
172,Tiny home in New Delhi,Sunrise homes 2
173,Apartment in New Delhi,Presidential Suite  2BHK (newly renovated)
174,Room in Noida,Cosy private room with  bathroom in a big house
175,Flat in New Delhi,small gathering studio apartment
176,Flat in Gurugram,1BHK Service Apartment Nr Cyber Hub @ Sterling
177,Room in Noida,HomeStay Premium for Professionals
178,Room in New Delhi,Your hideout : )
179,Hotel in New Delhi,Classic room - Near Delhi Aerocity Metro
180,Flat in New Delhi,4 Bedroom Apartment - Jasmine (Couple Friendly)
181,Farm stay in New Delhi,Nirvair Farmhouse | Private villa
182,Apartment in New Delhi,Beautiful Central Delhi House
183,Room in Gurugram,Private Room with Terrace at Bagichi House
184,Flat in Gurugram,18.Lux spacious 1bhk by instay
185,Flat in New Delhi,Amma's Place
186,Flat in New Delhi,Sunshine and Rainbows
187,Apartment in New Delhi,Luxury Jacuzzi Spa Tub 1BHK Suite South Delhi (11)
188,Home in Faridabad,Ivy House- Feels like Home
189,Flat in New Delhi,Peaceful Park View Apartment near Delhi Airport
190,Room in New Delhi,Home for comfortable stay.
